,1
352,544.8381927609444
353,491.7359921336174
354,588.6418931484222
355,463.2770318388939
356,408.58530074357986
357,422.1011429429054
358,520.2545593976974
359,393.7001693844795
360,541.1947355270386
361,473.1438400745392
362,516.2989674210548
363,500.7795622944832
364,580.7314110994339
365,509.6431344151497
366,267.13393008708954
367,287.01078087091446
368,279.3932007551193
369,463.99454015493393
370,471.0555973649025
371,388.5612272620201
372,488.27687430381775
373,388.21062910556793
374,484.93324410915375
375,535.1625970005989
376,605.2185096740723
377,576.0630788207054
378,407.29945653676987
379,490.93121284246445
380,491.3359887599945
381,371.5577765107155
382,474.247666656971
383,476.4261547923088
384,497.2829474210739
385,421.78435254096985
386,330.5072977542877
387,485.2736747264862
388,411.52030408382416
389,503.73241847753525
390,527.5761932730675
391,482.1612945199013
392,603.7654280662537
393,381.85469299554825
394,620.6606903672218
395,567.4316237568855
396,411.2910745739937
397,494.6542484164238
398,421.70606285333633
399,323.0910695195198
400,545.8896257281303
401,252.86077904701233
402,421.1613966226578
403,352.50595635175705
404,651.012225151062
405,348.9404872059822
406,420.15557074546814
407,449.2662080526352
408,501.29279059171677
409,541.7244999408722
410,405.9729514122009
411,508.0692903995514
412,341.0891167521477
413,525.8911539912224
414,475.66255074739456
415,489.5611646771431
416,584.5398356318474
417,566.1277645230293
418,509.6398311853409
419,535.2384206056595
420,399.8423064351082
421,384.8460910320282
422,595.8234533667564
423,551.1248229146004
424,455.34807658195496
425,484.63770335912704
426,397.23468881845474
427,327.67435961961746
428,381.73909842967987
429,425.3110083937645
430,517.3436705470085
431,552.6322274208069
432,499.5323867201805
433,565.153528213501
434,463.93401074409485
435,427.19244265556335
436,573.788831949234
437,429.54929822683334
438,549.9683188796043
439,478.06545519828796
440,603.4684911966324
441,433.4498510360718
442,450.2203924059868
443,560.9139068126678
444,471.88588696718216
445,393.95811128616333
446,301.26799261569977
447,439.9849335551262
448,471.950760781765
449,545.434861779213
450,460.54439479112625
451,613.0706139206886
452,455.508954167366
453,446.8551975488663
454,502.7642895579338
455,439.42630833387375
456,492.57050436735153
457,431.59618842601776
458,575.2260448932648
459,496.80115216970444
460,528.9969455599785
461,389.4015040397644
462,344.8000018000603
463,463.7931234240532
464,428.60445189476013
465,469.8539803624153
466,611.9571953415871
467,326.6961370110512
468,554.3487486243248
469,358.44259482622147
470,517.2891342639923
471,591.8512699007988
472,467.66289365291595
473,445.9347331523895
474,387.2209675312042
475,350.8955046534538
476,508.57037484645844
477,339.40043783187866
478,480.71817100048065
479,543.4686861634254
480,423.4587662220001
481,433.40803146362305
482,218.30745458602905
483,385.20746660232544
484,506.4317975640297
485,350.62807071208954
486,400.4172548055649
487,462.3639806509018
488,351.2001197338104
489,462.91159361600876
490,466.04285752773285
491,483.7265403866768
